Total lanes,Express lanes,Bagging,Average interval,,,,,,
10016,255,9716,116625,34,16.21086262,4316,1868.262987,189.3262987,616
9985,2091,7923,99630,2,0.562043065,581,160.8626263,201.2727273,495
9969,2643,7381,54145,1,0.464038519,456,137.4928571,193.375,280
10001,438,9563,115535,5,1.9540046,1296,415,195.8220339,590
10006,194,9796,116995,35,16.1203278,4721,1867.374376,194.6672213,601
10003,2649,7354,73185,1,0.518144557,440,138.5301508,183.8819095,398
10014,2304,7695,59955,1,0.499101258,475,144.5033333,199.85,300
10015,506,9509,114540,5,1.668796805,1215,359.4640411,196.130137,584
10005,2219,7786,80095,1,0.533933033,476,151.4812968,199.7381546,401
10003,214,9789,116980,35,16.44246726,4549,1949.489076,196.605042,595
10047,2277,7689,56935,1,0.500846024,461,136.9078498,194.3174061,293
10002,95,9907,118150,118,58.14557089,7632,3439.155993,194.0065681,609
10008,1836,8155,81610,1,0.528077538,477,145.3958333,188.912037,432
10006,783,9217,114920,2,0.909054567,773,227.8101695,194.779661,590
10021,2568,7429,75355,1,0.560722483,467,140.3065327,189.3341709,398
Average,,,,,,,,,
10007.76,1257.14,8741.44,96400.9,16.3,7.9026949,1843.06,756.9756125,196.6202962,490.1
,,,,,,,,,
Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,1,Employee,15,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10012,281,9713,116300,19,8.797742709,3071,1321.122278,194.8073702,597
10025,1952,8024,86320,1,0.523890274,474,152.8992974,202.1545667,427
10004,83,9921,117650,170,84.48570572,7843,3789.368679,191.9249592,613
10008,246,9762,116435,21,10.18764988,3423,1440.381818,192.4545455,605
10006,244,9755,117140,22,11.75844493,3649,1739.08778,201.6179002,581
10005,121,9865,117855,60,30.05397301,6116,2691.399668,195.4477612,603
10008,251,9743,116115,21,9.711330935,3153,1359.793496,188.804878,615
10006,127,9859,117540,61,31.07205677,6012,2796.403941,193.0049261,609
10001,301,9690,116185,21,10.67143286,3233,1608.517707,195.9274874,593
10013,203,9810,117035,24,11.48297214,4035,1628.560633,205.685413,569
10001,144,9857,117620,60,29.93130687,5800,2696.119601,195.3820598,602
10016,263,9730,116440,9,4.52745607,2097,874.6336283,206.0884956,565
9985,2302,7706,70630,1,0.500050075,481,144.2595628,192.9781421,366
10024,1808,8180,75115,1,0.501496409,437,147.0703125,195.6119792,384
10002,267,9735,116465,20,8.74825035,3173,1253.731872,196.3996627,593
10003,2486,7513,70510,1,0.515045486,480,138.6058201,186.5343915,378
9989,2474,7532,70675,1,0.509860847,468,135.6989247,189.9865591,372
10010,2305,7688,68535,1,0.520979021,440,137.1472222,190.375,360
10002,219,9783,117170,19,8.694261148,3569,1319.685413,205.9226714,569
10002,2210,7792,86050,2,0.525494901,493,146.2585034,195.1247166,441
10005,2070,7898,98355,2,0.562918541,536,154.398855,187.7003817,524
10018,261,9701,116115,25,11.12148133,3640,1543.955595,206.2433393,563
10001,479,9521,115435,7,3.04319568,1584,598.7986464,195.321489,591
10006,1506,8461,105950,2,0.623126124,696,173.5911602,195.1197053,543
10009,192,9779,117850,63,31.1050055,6056,2817.09777,202.1440823,583
10007,1354,8637,105965,2,0.622064555,631,170.4795539,196.9609665,538
10003,1553,8450,106245,2,0.597320804,734,173.4160584,193.8777372,548
10004,1966,8038,88450,2,0.548980408,604,152.9569161,200.5668934,441
10018,2020,7998,82245,1,0.512777001,481,154.1957041,196.2887828,419
10001,1425,8576,89730,2,0.526847315,480,157.3392857,200.2901786,448
10008,2340,7668,89125,2,0.529476419,456,150.0665188,197.616408,451
10005,1351,8654,109700,2,0.608995502,636,176.9491228,192.4561404,570
10001,173,9821,117050,62,31.64263574,5987,2846.577997,192.2003284,609
10001,2205,7763,73395,1,0.539146085,481,152.1546961,202.7486188,362
10016,216,9714,116415,18,9.720147764,3030,1504.393333,194.025,600
10004,215,9789,116485,18,8.724710116,3269,1300.47438,192.5371901,605
10002,324,9670,116020,19,9.959408118,3284,1537.847603,198.6643836,584
10007,143,9818,116715,64,31.59458379,5675,2742.751645,191.9654605,608
10005,324,9673,115625,19,10.39110445,3237,1548.176183,188.6215334,613
